case	processid	sampleid	kingdom	phylum	class	order	family	subfamily	genus	species	subspecies	identification	identification_rank	bin_uri	nuc_basecount	voucher_type	inst	museumid	identified_by	identification_method	country.ocean	coord	site	sector	region	collectors	collection_date_start	collection_date_end	taxonomy_notes	short_note	collection_notes	notes
rank:2 in Python / 3 in R - full metadata, no image	PAR0047	S0047	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0001	658	Museum Voucher	Natural History Museum	NHMUK010101	A. Smith	Morphology	United Kingdom		Pen Ponds			A. Smith	2015-07					
rank:2 via the sector alternative	PAR0048	S0048	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0001	658	Museum Voucher	Natural History Museum	NHMUK010101	A. Smith	Morphology	United Kingdom			something		A. Smith	2015-07					
rank:2 via the region alternative	PAR0049	S0049	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0001	658	Museum Voucher	Natural History Museum	NHMUK010101	A. Smith	Morphology	United Kingdom				something	A. Smith	2015-07					
rank:2 via the coord alternative	PAR0050	S0050	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0001	658	Museum Voucher	Natural History Museum	NHMUK010101	A. Smith	Morphology	United Kingdom	something				A. Smith	2015-07					
rank:3 - no collectors, date or locality	PAR0051	S0051	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0001	658	Museum Voucher	Natural History Museum	NHMUK010101	A. Smith	Morphology	United Kingdom											
rank:4 - species, sequence, country	PAR0052	S0052	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0003	658						France											
rank:5 - species and sequence only	PAR0053	S0053	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0003	658																	
rank:6 - species only	PAR0054	S0054	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			
rank:7 - nothing	PAR0055	S0055	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus sp.		Danaus sp.	genus																			
bags:D -- under 3	PAR0056	S0056	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus duo		Bagsus duo	species	BOLD:BAG0002	658						France											
bags:D -- under 3	PAR0057	S0057	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus duo		Bagsus duo	species	BOLD:BAG0002	658						France											
bags:B -- at the D/B edge	PAR0058	S0058	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus tres		Bagsus tres	species	BOLD:BAG0003	658						France											
bags:B -- at the D/B edge	PAR0059	S0059	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus tres		Bagsus tres	species	BOLD:BAG0003	658						France											
bags:B -- at the D/B edge	PAR0060	S0060	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus tres		Bagsus tres	species	BOLD:BAG0003	658						France											
bags:B -- the constant says A here, the code says B	PAR0061	S0061	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0062	S0062	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0063	S0063	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0064	S0064	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0065	S0065	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0066	S0066	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0067	S0067	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0068	S0068	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0069	S0069	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:B -- the constant says A here, the code says B	PAR0070	S0070	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus decem		Bagsus decem	species	BOLD:BAG0010	658						France											
bags:A -- the code's actual threshold	PAR0071	S0071	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0072	S0072	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0073	S0073	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0074	S0074	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0075	S0075	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0076	S0076	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0077	S0077	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0078	S0078	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0079	S0079	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0080	S0080	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:A -- the code's actual threshold	PAR0081	S0081	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus undecim		Bagsus undecim	species	BOLD:BAG0011	658						France											
bags:C -- one species across two BINs	PAR0082	S0082	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC001	658						France											
bags:C -- one species across two BINs	PAR0083	S0083	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC001	658						France											
bags:C -- one species across two BINs	PAR0084	S0084	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC001	658						France											
bags:C -- one species across two BINs	PAR0085	S0085	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC002	658						France											
bags:C -- one species across two BINs	PAR0086	S0086	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC002	658						France											
bags:C -- one species across two BINs	PAR0087	S0087	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus multibin		Bagsus multibin	species	BOLD:BAGC002	658						France											
bags:E -- two species in one BIN	PAR0088	S0088	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedone		Bagsus sharedone	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0089	S0089	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedone		Bagsus sharedone	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0090	S0090	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedone		Bagsus sharedone	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0091	S0091	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedone		Bagsus sharedone	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0092	S0092	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedtwo		Bagsus sharedtwo	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0093	S0093	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedtwo		Bagsus sharedtwo	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0094	S0094	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedtwo		Bagsus sharedtwo	species	BOLD:BAGE001	658						France											
bags:E -- two species in one BIN	PAR0095	S0095	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus sharedtwo		Bagsus sharedtwo	species	BOLD:BAGE001	658						France											
bags:no BIN -- counts toward specimen_count	PAR0096	S0096	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus nobin		Bagsus nobin	species		658																	
bags:no BIN -- counts toward specimen_count	PAR0097	S0097	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus nobin		Bagsus nobin	species		658																	
bags:no BIN -- counts toward specimen_count	PAR0098	S0098	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus nobin		Bagsus nobin	species		658																	
bags:no BIN -- counts toward specimen_count	PAR0099	S0099	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus nobin		Bagsus nobin	species		658																	
bags:genus-level rank is not species-level	PAR0100	S0100	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus genusonly		Bagsus genusonly	genus	BOLD:BAGG001																		
bags:genus-level rank is not species-level	PAR0101	S0101	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus genusonly		Bagsus genusonly	genus	BOLD:BAGG001																		
bags:genus-level rank is not species-level	PAR0102	S0102	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus genusonly		Bagsus genusonly	genus	BOLD:BAGG001																		
bags:genus-level rank is not species-level	PAR0103	S0103	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Bagsus	Bagsus genusonly		Bagsus genusonly	genus	BOLD:BAGG001																		
select:tie on score, lower processid wins	PAR0104	S0104	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus unus		Selectus unus	species	BOLD:SEL0001	658						France											
select:tie on score, higher processid loses	PAR0105	S0105	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus unus		Selectus unus	species	BOLD:SEL0001	658						France											
select:same BIN, different country -> its own representative	PAR0106	S0106	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus unus		Selectus unus	species	BOLD:SEL0001	658						Kenya											
select:same BIN, empty country -> grouped as Unknown	PAR0107	S0107	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus unus		Selectus unus	species	BOLD:SEL0001	658																	
select:higher score wins outright	PAR0108	S0108	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus duo		Selectus duo	species	BOLD:SEL0002	658	Museum Voucher	Natural History Museum		A. Smith	Morphology	France		somewhere			A. Smith	2015					
select:lower score loses	PAR0109	S0109	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Selectus	Selectus duo		Selectus duo	species	BOLD:SEL0002	658						France											
bins:two valid species in one BIN -> discordant	PAR0110	S0110	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Concordus	Concordus alpha		Concordus alpha	species	BOLD:CON0001	658																	
bins:two valid species in one BIN -> discordant	PAR0111	S0111	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Concordus	Concordus beta		Concordus beta	species	BOLD:CON0001	658																	
bins:one valid species -> concordant	PAR0112	S0112	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Concordus	Concordus gamma		Concordus gamma	species	BOLD:CON0002	658																	
bins:a cf. record beside it -- R's alternation lets any cf. pass	PAR0113	S0113	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Concordus	Concordus cf. gamma		Concordus cf. gamma	species	BOLD:CON0002	658																	
bins:no valid species, two genera -> discordant	PAR0114	S0114	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Genusone	Genusone sp.		Genusone sp.	genus	BOLD:CON0003																		
bins:no valid species, two genera -> discordant	PAR0115	S0115	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Genustwo	Genustwo sp.		Genustwo sp.	genus	BOLD:CON0003																		
