"processid","species","quality_score","criteria_met","rank","selected"
"PAR0077","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0078","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0079","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0080","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0081","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0082","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0083","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0084","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0085","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0086","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0087","Bagsus multibin","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0088","Bagsus sharedone","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0089","Bagsus sharedone","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0090","Bagsus sharedone","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0091","Bagsus sharedone","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0092","Bagsus sharedtwo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0093","Bagsus sharedtwo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0094","Bagsus sharedtwo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0095","Bagsus sharedtwo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0096","Bagsus nobin","1","SPECIES_ID","6","FALSE"
"PAR0097","Bagsus nobin","1","SPECIES_ID","6","FALSE"
"PAR0098","Bagsus nobin","1","SPECIES_ID","6","FALSE"
"PAR0099","Bagsus nobin","1","SPECIES_ID","6","FALSE"
"PAR0100","Bagsus genusonly","1","SPECIES_ID","6","TRUE"
"PAR0101","Bagsus genusonly","1","SPECIES_ID","6","FALSE"
"PAR0102","Bagsus genusonly","1","SPECIES_ID","6","FALSE"
"PAR0103","Bagsus genusonly","1","SPECIES_ID","6","FALSE"
"PAR0104","Selectus unus","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0105","Selectus unus","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0106","Selectus unus","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0107","Selectus unus","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0108","Selectus duo","10","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COLLECTORS; COLLECTION_DATE; COUNTRY; SITE; INSTITUTION","3","TRUE"
"PAR0109","Selectus duo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0110","Concordus alpha","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0111","Concordus beta","2","SPECIES_ID; SEQ_QUALITY","5","FALSE"
"PAR0112","Concordus gamma","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0113","","1","SEQ_QUALITY","7","FALSE"
"PAR0114","Genusone sp.","0","","7","TRUE"
"PAR0115","Genustwo sp.","0","","7","FALSE"
